🕘️更新时间,#genre#
2026-05-19 20:46:52,https://iptv.catvod.com/live.php?id=CCTV1&line=16$订阅源

📺央视频道,#genre#
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16$订阅源
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16$订阅源
CCTV-1,http://192.151.150.154/live/cctv1hd.m3u8$订阅源
CCTV-1,http://192.151.150.154/live/cctv1hd.m3u8$订阅源
CCTV-1,http://207.56.13.146:81/cdnlive/cctv1.m3u8$订阅源
CCTV-1,http://207.56.13.146:81/cdnlive/cctv1.m3u8$订阅源
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$订阅源
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$订阅源
CCTV-2,https://iptv.catvod.com/catvod?id=CCTV-2%E9%AB%98%E6%B8%85&line=1$订阅源
CCTV-2,http://198.204.228.26/live/cctv2hd.m3u8$订阅源
CCTV-2,http://198.204.228.26/live/cctv2hd.m3u8$订阅源
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$订阅源
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$订阅源
CCTV-2,http://207.56.13.146:81/cdnlive/cctv2.m3u8$订阅源
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=1$订阅源
CCTV-3,http://192.151.150.154/live/cctv3hd.m3u8$订阅源
CCTV-3,http://198.204.228.26/live/cctv3hd.m3u8$订阅源
CCTV-3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009$订阅源
CCTV-3,http://207.56.13.146:81/cdnlive/cctv3.m3u8$订阅源
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8$订阅源
CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=10$订阅源
CCTV-4,http://192.151.150.154/live/cctv4hd.m3u8$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$订阅源
CCTV-4,http://207.56.13.146:81/cdnlive/cctv4.m3u8$订阅源
CCTV-4,http://113.141.220.55:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://113.141.220.55:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV-4,http://124.228.160.176:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=bfdc7fd4fdd7c31f07cacd34d3cb0a5a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=bfdc7fd4fdd7c31f07cacd34d3cb0a5a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=10$订阅源
CCTV-5,http://192.151.150.154/live/cctv5hd.m3u8$订阅源
CCTV-5,http://198.204.228.26/live/cctv5p.m3u8$订阅源
CCTV-5,http://38.75.136.137:98/gslb/dsdqca/cctv5hd.m3u8?auth=test20251009$订阅源
CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8$订阅源
